scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
1k,1000,text,"I saw it in the mirror  
I saw it in my face  
That I'm no longer needed  
Anyone can take my place  
I saw it in the mirror  
When I looked into my eyes  
'Cause something sure is wrong  
When this b",1,0.825,1211.97,0.082,0.1611,0,0.0,0.2212,0.1866,0.7778,0.0625,1.0,7.812,128.01,0.0039,0.0037,0.3333,0.0268,1.0,80,0,4.8,208.34,0.0,0.0036,80,0,1.0,0.2
1k,1000,text,"I saw it in the mirror  
I saw it in my face  
That I'm no longer needed  
Anyone can take my place  
I saw it in the mirror  
When I looked into my eyes  
'Cause something sure is wrong  
When this b",2,0.725,1379.12,0.0078,0.1611,0,0.0,0.2212,0.1866,0.7778,0.0625,1.0,3.522,283.95,0.0,0.0036,0.3333,0.0268,1.0,80,0,3.186,313.91,0.0039,0.0035,80,0,1.0,0.2
1k,1000,text,"I saw it in the mirror  
I saw it in my face  
That I'm no longer needed  
Anyone can take my place  
I saw it in the mirror  
When I looked into my eyes  
'Cause something sure is wrong  
When this b",3,0.873,1146.0,0.0,0.1611,0,0.0,0.2212,0.1866,0.7778,0.0625,1.0,3.507,285.15,0.0,0.0035,0.3333,0.0268,1.0,80,0,3.091,323.54,0.0,0.0034,80,0,1.0,0.2
1k,1000,text,"The morning breeze that ripples the surface of the sea  
The crying of the seagulls that hover over me  
I see it and I hear it  
But how can I explain  
The wonder of the moment  
To be alive, to fee",1,0.647,1545.83,0.0703,0.1306,0,0.0,0.2212,0.1866,0.8889,0.0714,1.0,2.74,364.98,0.0,0.0035,0.8889,0.0714,1.0,78,0,2.375,421.14,0.0,0.0034,85,0,1.0,0.1
1k,1000,text,"The morning breeze that ripples the surface of the sea  
The crying of the seagulls that hover over me  
I see it and I hear it  
But how can I explain  
The wonder of the moment  
To be alive, to fee",2,0.558,1790.83,0.0039,0.1306,0,0.0,0.2212,0.1866,0.8889,0.0714,1.0,2.845,351.47,0.0,0.0035,0.8889,0.0714,1.0,78,0,2.108,474.45,0.0,0.0034,85,0,1.0,0.1
1k,1000,text,"The morning breeze that ripples the surface of the sea  
The crying of the seagulls that hover over me  
I see it and I hear it  
But how can I explain  
The wonder of the moment  
To be alive, to fee",3,0.569,1756.54,0.0,0.1306,0,0.0,0.2212,0.1866,0.8889,0.0714,1.0,2.718,367.96,0.0,0.0035,0.8889,0.0714,1.0,78,0,2.025,493.9,0.0,0.0034,85,0,1.0,0.1
1k,1000,text,"Today a new jet plane  
Tonight it's a new hotel  
You live in your own world  
You're under a magic spell  
Rikky Rock'n Roller now that you're the headline  
Rikky Rock'n Roller don't it make you fe",1,0.6,1665.83,0.0,0.1373,0,0.0,0.2212,0.1866,0.8889,0.0714,1.0,3.93,254.49,0.0,0.0035,0.4444,0.0357,1.0,80,0,3.244,308.28,0.0,0.0034,80,0,1.0,0.3
1k,1000,text,"Today a new jet plane  
Tonight it's a new hotel  
You live in your own world  
You're under a magic spell  
Rikky Rock'n Roller now that you're the headline  
Rikky Rock'n Roller don't it make you fe",2,0.609,1641.23,0.0,0.1373,0,0.0,0.2212,0.1866,0.8889,0.0714,1.0,3.672,272.32,0.0,0.0035,0.4444,0.0357,1.0,80,0,4.107,243.46,0.0,0.0034,80,0,1.0,0.3
1k,1000,text,"Today a new jet plane  
Tonight it's a new hotel  
You live in your own world  
You're under a magic spell  
Rikky Rock'n Roller now that you're the headline  
Rikky Rock'n Roller don't it make you fe",3,0.577,1732.8,0.0,0.1373,0,0.0,0.2212,0.1866,0.8889,0.0714,1.0,4.281,233.59,0.0,0.0035,0.4444,0.0357,1.0,80,0,3.573,279.92,0.0,0.0034,80,0,1.0,0.3
1k,1000,text,"Oh my friend came over so I packed him a pipe  
I told him he better go easy with this shit but he didn't believe the hype  
He sparked three bows just to show he could take it  
Two minutes later he ",1,0.901,1109.88,0.0,0.1852,0,0.0,0.2212,0.1866,0.1111,0.1429,1.0,3.613,276.79,0.0,0.0035,0.1111,0.1429,1.0,78,0,3.413,293.02,0.0,0.0034,89,0,1.0,0.2
